run_id,env,mode,base_policy_id,worker_policy_id,datasource_id,concurrency,task_id,source_index,start_time,end_time,duration_ms,status,error
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,1,0,2026-07-16T14:50:15.436886+00:00,2026-07-16T14:50:35.225152+00:00,19788.3,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,2,1,2026-07-16T14:50:35.226755+00:00,2026-07-16T14:50:52.972332+00:00,17745.6,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,3,2,2026-07-16T14:50:52.972654+00:00,2026-07-16T14:51:10.674343+00:00,17701.7,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,4,3,2026-07-16T14:51:10.674689+00:00,2026-07-16T14:51:28.823019+00:00,18148.3,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,5,4,2026-07-16T14:51:28.823455+00:00,2026-07-16T14:51:46.988956+00:00,18165.5,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,6,5,2026-07-16T14:51:46.989049+00:00,2026-07-16T14:52:04.617072+00:00,17628.0,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,7,6,2026-07-16T14:52:04.617161+00:00,2026-07-16T14:52:21.769564+00:00,17152.4,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,8,7,2026-07-16T14:52:21.770951+00:00,2026-07-16T14:52:39.943153+00:00,18172.2,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,9,8,2026-07-16T14:52:39.943278+00:00,2026-07-16T14:52:57.778004+00:00,17834.7,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,10,9,2026-07-16T14:52:57.778100+00:00,2026-07-16T14:53:15.977727+00:00,18199.6,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,11,10,2026-07-16T14:53:15.977837+00:00,2026-07-16T14:53:33.184614+00:00,17206.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,12,11,2026-07-16T14:53:33.184712+00:00,2026-07-16T14:53:50.708098+00:00,17523.4,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,13,12,2026-07-16T14:53:50.708272+00:00,2026-07-16T14:54:07.934850+00:00,17226.6,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,14,13,2026-07-16T14:54:07.935064+00:00,2026-07-16T14:54:24.706484+00:00,16771.4,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,15,14,2026-07-16T14:54:24.706634+00:00,2026-07-16T14:54:42.395927+00:00,17689.3,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,16,15,2026-07-16T14:54:42.396040+00:00,2026-07-16T14:54:58.534494+00:00,16138.5,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,17,16,2026-07-16T14:54:58.534635+00:00,2026-07-16T14:55:16.027554+00:00,17492.9,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,18,17,2026-07-16T14:55:16.027857+00:00,2026-07-16T14:55:32.652292+00:00,16624.4,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,19,18,2026-07-16T14:55:32.652440+00:00,2026-07-16T14:55:49.963515+00:00,17311.1,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,20,19,2026-07-16T14:55:49.963676+00:00,2026-07-16T14:56:07.041505+00:00,17077.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,21,0,2026-07-16T14:56:07.041652+00:00,2026-07-16T14:56:24.088459+00:00,17046.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,22,1,2026-07-16T14:56:24.089487+00:00,2026-07-16T14:56:41.720131+00:00,17630.6,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,23,2,2026-07-16T14:56:41.720471+00:00,2026-07-16T14:56:58.932534+00:00,17212.1,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,24,3,2026-07-16T14:56:58.932952+00:00,2026-07-16T14:57:16.475795+00:00,17542.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,25,4,2026-07-16T14:57:16.476163+00:00,2026-07-16T14:57:33.818049+00:00,17341.9,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,26,5,2026-07-16T14:57:33.818310+00:00,2026-07-16T14:57:51.739400+00:00,17921.1,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,27,6,2026-07-16T14:57:51.739870+00:00,2026-07-16T14:58:08.182081+00:00,16442.2,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,28,7,2026-07-16T14:58:08.182217+00:00,2026-07-16T14:58:24.953385+00:00,16771.2,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,29,8,2026-07-16T14:58:24.953515+00:00,2026-07-16T14:58:42.635358+00:00,17681.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,30,9,2026-07-16T14:58:42.635457+00:00,2026-07-16T14:59:00.383135+00:00,17747.7,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,31,10,2026-07-16T14:59:00.383251+00:00,2026-07-16T14:59:17.748372+00:00,17365.1,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,32,11,2026-07-16T14:59:17.748662+00:00,2026-07-16T14:59:34.738925+00:00,16990.3,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,33,12,2026-07-16T14:59:34.739032+00:00,2026-07-16T14:59:51.789978+00:00,17050.9,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,34,13,2026-07-16T14:59:51.790114+00:00,2026-07-16T15:00:08.707652+00:00,16917.5,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,35,14,2026-07-16T15:00:08.707774+00:00,2026-07-16T15:00:25.858291+00:00,17150.5,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,36,15,2026-07-16T15:00:25.858427+00:00,2026-07-16T15:00:43.175290+00:00,17316.9,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,37,16,2026-07-16T15:00:43.175378+00:00,2026-07-16T15:01:00.192133+00:00,17016.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,38,17,2026-07-16T15:01:00.192245+00:00,2026-07-16T15:01:17.413403+00:00,17221.2,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,39,18,2026-07-16T15:01:17.413536+00:00,2026-07-16T15:01:33.912008+00:00,16498.5,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,40,19,2026-07-16T15:01:33.912107+00:00,2026-07-16T15:01:50.822891+00:00,16910.8,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,41,0,2026-07-16T15:01:50.823013+00:00,2026-07-16T15:02:07.406447+00:00,16583.4,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,42,1,2026-07-16T15:02:07.406548+00:00,2026-07-16T15:02:24.257088+00:00,16850.5,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,43,2,2026-07-16T15:02:24.257230+00:00,2026-07-16T15:02:41.208311+00:00,16951.1,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,44,3,2026-07-16T15:02:41.208419+00:00,2026-07-16T15:09:01.056765+00:00,379848.3,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,45,4,2026-07-16T15:09:01.056976+00:00,2026-07-16T15:09:18.561318+00:00,17504.3,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,46,5,2026-07-16T15:09:18.561795+00:00,2026-07-16T15:09:36.042352+00:00,17480.6,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,47,6,2026-07-16T15:09:36.042531+00:00,2026-07-16T15:09:53.451207+00:00,17408.7,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,48,7,2026-07-16T15:09:53.451301+00:00,2026-07-16T15:10:11.140410+00:00,17689.1,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,49,8,2026-07-16T15:10:11.140661+00:00,2026-07-16T15:10:28.607088+00:00,17466.4,success,
20260716T145002Z_a8304c63,linux,browser,perf_browser_browser-no-res_20260716145002,perf_browser_browser-no-res_20260716145002,browser-no-res,1,50,9,2026-07-16T15:10:28.607212+00:00,2026-07-16T15:10:46.332453+00:00,17725.2,success,
