run_id,env,mode,base_policy_id,worker_policy_id,datasource_id,concurrency,task_id,source_index,start_time,end_time,duration_ms,status,error
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,3,2,2026-07-16T13:44:06.962948+00:00,2026-07-16T13:44:51.137897+00:00,44174.9,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,1,0,2026-07-16T13:44:06.956800+00:00,2026-07-16T13:45:04.264933+00:00,57308.1,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,2,1,2026-07-16T13:44:06.961062+00:00,2026-07-16T13:45:13.109301+00:00,66148.2,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,6,5,2026-07-16T13:44:51.141532+00:00,2026-07-16T13:45:30.067977+00:00,38926.4,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,4,3,2026-07-16T13:45:04.265111+00:00,2026-07-16T13:45:54.265854+00:00,50000.7,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,5,4,2026-07-16T13:45:13.111785+00:00,2026-07-16T13:46:00.509960+00:00,47398.2,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,9,8,2026-07-16T13:45:30.069897+00:00,2026-07-16T13:46:09.042343+00:00,38972.4,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,7,6,2026-07-16T13:45:54.266048+00:00,2026-07-16T13:46:40.638565+00:00,46372.5,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,12,11,2026-07-16T13:46:09.042636+00:00,2026-07-16T13:46:44.923544+00:00,35880.9,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,8,7,2026-07-16T13:46:00.510128+00:00,2026-07-16T13:46:51.836046+00:00,51325.9,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,10,9,2026-07-16T13:46:40.651875+00:00,2026-07-16T13:47:25.037050+00:00,44385.2,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,11,10,2026-07-16T13:46:51.836462+00:00,2026-07-16T13:47:31.031567+00:00,39195.1,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,15,14,2026-07-16T13:46:44.925858+00:00,2026-07-16T13:47:33.693366+00:00,48767.5,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,18,17,2026-07-16T13:47:33.696306+00:00,2026-07-16T13:48:10.012178+00:00,36315.9,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,13,12,2026-07-16T13:47:25.039000+00:00,2026-07-16T13:48:13.401913+00:00,48362.9,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,14,13,2026-07-16T13:47:31.041792+00:00,2026-07-16T13:48:16.525502+00:00,45483.7,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,17,16,2026-07-16T13:48:16.527435+00:00,2026-07-16T13:48:51.767822+00:00,35240.4,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,16,15,2026-07-16T13:48:13.402507+00:00,2026-07-16T13:48:58.916041+00:00,45513.5,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,21,0,2026-07-16T13:48:10.015551+00:00,2026-07-16T13:49:05.096644+00:00,55081.1,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,20,19,2026-07-16T13:48:51.774428+00:00,2026-07-16T13:49:35.812973+00:00,44038.5,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,24,3,2026-07-16T13:49:05.096857+00:00,2026-07-16T13:49:41.698490+00:00,36601.6,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,19,18,2026-07-16T13:48:58.916296+00:00,2026-07-16T13:49:49.692818+00:00,50776.5,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,23,2,2026-07-16T13:49:35.825926+00:00,2026-07-16T13:50:23.502280+00:00,47676.4,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,22,1,2026-07-16T13:49:49.695140+00:00,2026-07-16T13:50:30.477967+00:00,40782.8,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,27,6,2026-07-16T13:49:41.704794+00:00,2026-07-16T13:50:37.413615+00:00,55708.8,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,26,5,2026-07-16T13:50:23.503712+00:00,2026-07-16T13:51:09.267519+00:00,45763.8,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,30,9,2026-07-16T13:50:37.414206+00:00,2026-07-16T13:51:15.126189+00:00,37712.0,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,25,4,2026-07-16T13:50:30.478290+00:00,2026-07-16T13:51:22.422414+00:00,51944.1,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,29,8,2026-07-16T13:51:09.270085+00:00,2026-07-16T13:51:54.731296+00:00,45461.2,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,28,7,2026-07-16T13:51:22.422868+00:00,2026-07-16T13:51:58.149916+00:00,35727.0,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,33,12,2026-07-16T13:51:15.126394+00:00,2026-07-16T13:52:03.919398+00:00,48793.0,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,36,15,2026-07-16T13:52:03.923128+00:00,2026-07-16T13:52:41.033263+00:00,37110.1,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,31,10,2026-07-16T13:51:58.150208+00:00,2026-07-16T13:52:47.650874+00:00,49500.7,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,32,11,2026-07-16T13:51:54.741194+00:00,2026-07-16T13:52:50.612556+00:00,55871.4,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,39,18,2026-07-16T13:52:41.036556+00:00,2026-07-16T13:53:26.365306+00:00,45328.7,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,35,14,2026-07-16T13:52:50.612927+00:00,2026-07-16T13:53:33.158725+00:00,42545.8,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,34,13,2026-07-16T13:52:47.658732+00:00,2026-07-16T13:53:36.288085+00:00,48629.4,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$1,browser-no-res,3,42,1,2026-07-16T13:53:26.370291+00:00,2026-07-16T13:54:05.283832+00:00,38913.5,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352,browser-no-res,3,37,16,2026-07-16T13:53:36.288315+00:00,2026-07-16T13:54:10.242490+00:00,33954.2,success,
20260716T134352Z_f70dfd58,linux,browser,perf_browser_browser-no-res_20260716134352,perf_browser_browser-no-res_20260716134352$0,browser-no-res,3,38,17,2026-07-16T13:53:33.158971+00:00,2026-07-16T13:54:19.472471+00:00,46313.5,success,
