run_id,env,mode,base_policy_id,worker_policy_id,datasource_id,concurrency,task_id,source_index,start_time,end_time,duration_ms,status,error
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,3,2,2026-07-16T15:21:35.075928+00:00,2026-07-16T15:24:20.270765+00:00,165194.8,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,4,3,2026-07-16T15:21:35.075435+00:00,2026-07-16T15:24:49.402200+00:00,194326.8,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,9,8,2026-07-16T15:24:49.413478+00:00,2026-07-16T15:25:56.237995+00:00,66824.5,fail,"浏览器初始化失败:Message: unknown error: DevToolsActivePort file doesn't exist
Stacktrace:
#0 0x5dda02d5b303 <unknown>
#1 0x5dda02b2fd37 <unknown>
#2 0x5dda02b5ba09 <unknown>
#3 0x5dda02b5766c <unknown>
#4 0x5dda02b54330 <unknown>
#5 0x5dda02b954a6 <unknown>
#6 0x5dda02b8c753 <unknown>
#7 0x5dda02b5fa14 <unknown>
#8 0x5dda02b60b7e <unknown>
#9 0x5dda02daa32e <unknown>
#10 0x5dda02dadc0e <unknown>
#11 0x5dda02d90610 <unknown>
#12 0x5dda02daec23 <unknown>
#13 0x5dda02d82545 <unknown>
#14 0x5dda02dcf6a8 <u"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,5,4,2026-07-16T15:21:35.076671+00:00,2026-07-16T15:26:16.371203+00:00,281294.5,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121,browser-no-res,5,1,0,2026-07-16T15:21:35.063505+00:00,2026-07-16T15:26:17.696772+00:00,282633.3,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$0,browser-no-res,5,2,1,2026-07-16T15:21:35.070388+00:00,2026-07-16T15:27:39.959477+00:00,364889.1,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,8,7,2026-07-16T15:24:20.273224+00:00,2026-07-16T15:27:40.308137+00:00,200034.9,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121,browser-no-res,5,6,5,2026-07-16T15:26:17.697035+00:00,2026-07-16T15:27:40.397148+00:00,82700.1,fail,"浏览器初始化失败:Message: chrome not reachable
Stacktrace:
#0 0x56d19330f303 <unknown>
#1 0x56d1930e3bbd <unknown>
#2 0x56d1930d25ab <unknown>
#3 0x56d1931103c3 <unknown>
#4 0x56d19310b80e <unknown>
#5 0x56d193108330 <unknown>
#6 0x56d1931494a6 <unknown>
#7 0x56d193140753 <unknown>
#8 0x56d193113a14 <unknown>
#9 0x56d193114b7e <unknown>
#10 0x56d19335e32e <unknown>
#11 0x56d193361c0e <unknown>
#12 0x56d193344610 <unknown>
#13 0x56d193362c23 <unknown>
#14 0x56d193336545 <unknown>
#15 0x56d1933836a8 <unkn"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,10,9,2026-07-16T15:26:16.382157+00:00,2026-07-16T15:27:40.532139+00:00,84150.0,fail,"浏览器初始化失败:Message: chrome not reachable
Stacktrace:
#0 0x56382698d303 <unknown>
#1 0x563826761bbd <unknown>
#2 0x5638267505ab <unknown>
#3 0x56382678e3c3 <unknown>
#4 0x56382678980e <unknown>
#5 0x563826786330 <unknown>
#6 0x5638267c74a6 <unknown>
#7 0x5638267be753 <unknown>
#8 0x563826791a14 <unknown>
#9 0x563826792b7e <unknown>
#10 0x5638269dc32e <unknown>
#11 0x5638269dfc0e <unknown>
#12 0x5638269c2610 <unknown>
#13 0x5638269e0c23 <unknown>
#14 0x5638269b4545 <unknown>
#15 0x563826a016a8 <unkn"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,15,14,2026-07-16T15:27:40.532453+00:00,2026-07-16T15:29:07.694623+00:00,87162.2,fail,"浏览器初始化失败:Message: chrome not reachable
Stacktrace:
#0 0x565ec5761303 <unknown>
#1 0x565ec5535bbd <unknown>
#2 0x565ec55245ab <unknown>
#3 0x565ec55623c3 <unknown>
#4 0x565ec555d80e <unknown>
#5 0x565ec555a330 <unknown>
#6 0x565ec559b4a6 <unknown>
#7 0x565ec5592753 <unknown>
#8 0x565ec5565a14 <unknown>
#9 0x565ec5566b7e <unknown>
#10 0x565ec57b032e <unknown>
#11 0x565ec57b3c0e <unknown>
#12 0x565ec5796610 <unknown>
#13 0x565ec57b4c23 <unknown>
#14 0x565ec5788545 <unknown>
#15 0x565ec57d56a8 <unkn"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,14,13,2026-07-16T15:25:56.399040+00:00,2026-07-16T15:29:07.884688+00:00,191485.6,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,20,19,2026-07-16T15:29:07.709418+00:00,2026-07-16T15:31:19.409624+00:00,131700.2,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=40031): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,19,18,2026-07-16T15:29:07.885013+00:00,2026-07-16T15:31:19.417985+00:00,131533.0,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=55119): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121,browser-no-res,5,11,10,2026-07-16T15:27:40.397270+00:00,2026-07-16T15:31:58.818758+00:00,258421.5,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$0,browser-no-res,5,7,6,2026-07-16T15:27:39.962709+00:00,2026-07-16T15:32:11.770533+00:00,271807.8,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,13,12,2026-07-16T15:27:40.308376+00:00,2026-07-16T15:32:11.877334+00:00,271569.0,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,18,17,2026-07-16T15:32:11.895830+00:00,2026-07-16T15:34:17.126528+00:00,125230.7,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=36189): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$0,browser-no-res,5,12,11,2026-07-16T15:32:11.773028+00:00,2026-07-16T15:34:17.243113+00:00,125470.1,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=52003): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,24,3,2026-07-16T15:31:19.438219+00:00,2026-07-16T15:34:17.762559+00:00,178324.3,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,25,4,2026-07-16T15:31:19.432396+00:00,2026-07-16T15:35:23.574162+00:00,244141.8,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,23,2,2026-07-16T15:34:17.150048+00:00,2026-07-16T15:35:24.361063+00:00,67211.0,fail,"浏览器初始化失败:Message: chrome not reachable
Stacktrace:
#0 0x582125239303 <unknown>
#1 0x58212500dbbd <unknown>
#2 0x582124ffc5ab <unknown>
#3 0x58212503a3c3 <unknown>
#4 0x58212503580e <unknown>
#5 0x582125032330 <unknown>
#6 0x5821250734a6 <unknown>
#7 0x58212506a753 <unknown>
#8 0x58212503da14 <unknown>
#9 0x58212503eb7e <unknown>
#10 0x58212528832e <unknown>
#11 0x58212528bc0e <unknown>
#12 0x58212526e610 <unknown>
#13 0x58212528cc23 <unknown>
#14 0x582125260545 <unknown>
#15 0x5821252ad6a8 <unkn"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121,browser-no-res,5,16,15,2026-07-16T15:31:59.116636+00:00,2026-07-16T15:35:24.755693+00:00,205639.1,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,28,7,2026-07-16T15:35:24.361448+00:00,2026-07-16T15:37:33.452514+00:00,129091.1,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=49711): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121,browser-no-res,5,21,0,2026-07-16T15:35:24.760565+00:00,2026-07-16T15:37:34.952173+00:00,130191.6,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=33321): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,29,8,2026-07-16T15:34:17.762877+00:00,2026-07-16T15:37:34.989085+00:00,197226.2,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,30,9,2026-07-16T15:35:23.575994+00:00,2026-07-16T15:37:35.021486+00:00,131445.5,fail,"浏览器初始化失败:HTTPConnectionPool(host='localhost', port=37069): Read timed out. (read timeout=120)"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$0,browser-no-res,5,17,16,2026-07-16T15:34:17.243286+00:00,2026-07-16T15:37:50.250187+00:00,213006.9,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$0,browser-no-res,5,22,1,2026-07-16T15:37:50.335618+00:00,2026-07-16T15:39:01.958862+00:00,71623.2,fail,"浏览器初始化失败:Message: unknown error: DevToolsActivePort file doesn't exist
Stacktrace:
#0 0x5834c2440303 <unknown>
#1 0x5834c2214d37 <unknown>
#2 0x5834c2240a09 <unknown>
#3 0x5834c223c66c <unknown>
#4 0x5834c2239330 <unknown>
#5 0x5834c227a4a6 <unknown>
#6 0x5834c2271753 <unknown>
#7 0x5834c2244a14 <unknown>
#8 0x5834c2245b7e <unknown>
#9 0x5834c248f32e <unknown>
#10 0x5834c2492c0e <unknown>
#11 0x5834c2475610 <unknown>
#12 0x5834c2493c23 <unknown>
#13 0x5834c2467545 <unknown>
#14 0x5834c24b46a8 <u"
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$2,browser-no-res,5,34,13,2026-07-16T15:37:34.989291+00:00,2026-07-16T15:39:20.505520+00:00,105516.2,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$3,browser-no-res,5,35,14,2026-07-16T15:37:35.027919+00:00,2026-07-16T15:39:21.811535+00:00,106783.6,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$1,browser-no-res,5,33,12,2026-07-16T15:37:33.507960+00:00,2026-07-16T15:39:56.426694+00:00,142918.7,success,
20260716T152121Z_38bc0ed2,linux,browser,perf_browser_browser-no-res_20260716152121,perf_browser_browser-no-res_20260716152121$0,browser-no-res,5,27,6,2026-07-16T15:39:02.266402+00:00,2026-07-16T15:40:23.477970+00:00,81211.6,success,
