run_id,env,mode,base_policy_id,worker_policy_id,datasource_id,concurrency,task_id,source_index,start_time,end_time,duration_ms,status,error
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,1,0,2026-07-16T11:55:34.705792+00:00,2026-07-16T11:55:38.674919+00:00,3969.1,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,2,1,2026-07-16T11:55:38.675016+00:00,2026-07-16T11:55:43.342116+00:00,4667.1,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,3,2,2026-07-16T11:55:43.342208+00:00,2026-07-16T11:55:48.896030+00:00,5553.8,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,4,3,2026-07-16T11:55:48.896164+00:00,2026-07-16T11:55:51.917241+00:00,3021.1,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,5,4,2026-07-16T11:55:51.917365+00:00,2026-07-16T11:55:57.262480+00:00,5345.1,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,6,5,2026-07-16T11:55:57.262625+00:00,2026-07-16T11:56:01.918006+00:00,4655.4,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,7,6,2026-07-16T11:56:01.918104+00:00,2026-07-16T11:56:07.557847+00:00,5639.7,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,8,7,2026-07-16T11:56:07.557960+00:00,2026-07-16T11:56:12.222431+00:00,4664.5,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,9,0,2026-07-16T11:56:12.222607+00:00,2026-07-16T11:56:16.275656+00:00,4053.0,success,
20260716T115533Z_be7e37c1,linux,request,perf_request_request_20260716115533,perf_request_request_20260716115533,request,1,10,1,2026-07-16T11:56:16.275802+00:00,2026-07-16T11:56:20.383643+00:00,4107.8,success,
