run_id,env,mode,base_policy_id,worker_policy_id,datasource_id,concurrency,task_id,source_index,start_time,end_time,duration_ms,status,error
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,1,0,2026-07-16T12:25:57.224638+00:00,2026-07-16T12:25:59.775347+00:00,2550.7,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,2,1,2026-07-16T12:25:59.775473+00:00,2026-07-16T12:26:04.084882+00:00,4309.4,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,3,2,2026-07-16T12:26:04.084997+00:00,2026-07-16T12:26:08.423469+00:00,4338.5,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,4,3,2026-07-16T12:26:08.423602+00:00,2026-07-16T12:26:11.901786+00:00,3478.2,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,5,4,2026-07-16T12:26:11.902071+00:00,2026-07-16T12:26:15.856510+00:00,3954.4,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,6,5,2026-07-16T12:26:15.856712+00:00,2026-07-16T12:26:21.041834+00:00,5185.1,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,7,6,2026-07-16T12:26:21.041919+00:00,2026-07-16T12:26:24.223656+00:00,3181.7,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,8,7,2026-07-16T12:26:24.223783+00:00,2026-07-16T12:26:29.779852+00:00,5556.1,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,9,0,2026-07-16T12:26:29.780100+00:00,2026-07-16T12:26:32.909005+00:00,3128.9,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,10,1,2026-07-16T12:26:32.909258+00:00,2026-07-16T12:26:37.176924+00:00,4267.7,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,11,2,2026-07-16T12:26:37.177056+00:00,2026-07-16T12:26:40.911977+00:00,3734.9,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,12,3,2026-07-16T12:26:40.912212+00:00,2026-07-16T12:26:44.326488+00:00,3414.3,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,13,4,2026-07-16T12:26:44.326619+00:00,2026-07-16T12:26:48.955787+00:00,4629.2,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,14,5,2026-07-16T12:26:48.955906+00:00,2026-07-16T12:26:53.703185+00:00,4747.3,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,15,6,2026-07-16T12:26:53.703367+00:00,2026-07-16T12:26:56.324312+00:00,2620.9,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,16,7,2026-07-16T12:26:56.324518+00:00,2026-07-16T12:27:01.042027+00:00,4717.5,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,17,0,2026-07-16T12:27:01.042148+00:00,2026-07-16T12:27:03.618734+00:00,2576.6,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,18,1,2026-07-16T12:27:03.618829+00:00,2026-07-16T12:27:07.894163+00:00,4275.3,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,19,2,2026-07-16T12:27:07.894433+00:00,2026-07-16T12:27:12.062498+00:00,4168.1,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,20,3,2026-07-16T12:27:12.062762+00:00,2026-07-16T12:27:15.507858+00:00,3445.1,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,21,4,2026-07-16T12:27:15.507997+00:00,2026-07-16T12:27:19.498494+00:00,3990.5,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,22,5,2026-07-16T12:27:19.498662+00:00,2026-07-16T12:27:24.743771+00:00,5245.1,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,23,6,2026-07-16T12:27:24.743888+00:00,2026-07-16T12:27:27.764245+00:00,3020.4,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,24,7,2026-07-16T12:27:27.764356+00:00,2026-07-16T12:27:33.457134+00:00,5692.8,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,25,0,2026-07-16T12:27:33.457244+00:00,2026-07-16T12:27:36.202237+00:00,2745.0,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,26,1,2026-07-16T12:27:36.202346+00:00,2026-07-16T12:27:40.978080+00:00,4775.7,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,27,2,2026-07-16T12:27:40.978669+00:00,2026-07-16T12:27:44.961268+00:00,3982.6,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,28,3,2026-07-16T12:27:44.961396+00:00,2026-07-16T12:27:48.845652+00:00,3884.3,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,29,4,2026-07-16T12:27:48.845856+00:00,2026-07-16T12:27:53.488807+00:00,4643.0,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,30,5,2026-07-16T12:27:53.488903+00:00,2026-07-16T12:27:58.680763+00:00,5191.9,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,31,6,2026-07-16T12:27:58.680890+00:00,2026-07-16T12:28:01.294628+00:00,2613.7,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,32,7,2026-07-16T12:28:01.294762+00:00,2026-07-16T12:28:06.491302+00:00,5196.5,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,33,0,2026-07-16T12:28:06.491447+00:00,2026-07-16T12:28:09.120236+00:00,2628.8,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,34,1,2026-07-16T12:28:09.120335+00:00,2026-07-16T12:28:13.303294+00:00,4183.0,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,35,2,2026-07-16T12:28:13.303482+00:00,2026-07-16T12:28:17.752963+00:00,4449.5,success,
20260716T122556Z_ead42ef1,linux,request,perf_request_request_20260716122556,perf_request_request_20260716122556,request,1,36,3,2026-07-16T12:28:17.753103+00:00,2026-07-16T12:28:21.206190+00:00,3453.1,success,
